time,robot_x,robot_y,robot_z,yaw,mode,obstacle_type,obstacle_x,obstacle_y,obstacle_z,obstacle_sx,obstacle_sy,obstacle_sz,target_x,target_y,target_z
3.2640000000000002,0.22388871254533463,9.879665874739162,0.5722951226455397,-1.6131260751554712,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.2960000000000003,0.22310342687436555,9.859020491895828,0.5738584786471312,-1.613108744680605,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.3280000000000003,0.22231381725047264,9.838325565160249,0.5754455828568988,-1.6131263926014296,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.36,0.2215199700561376,9.81758201962903,0.576927260310127,-1.6131802638923867,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.392,0.22072194752735005,9.796790727159333,0.5781894997700094,-1.6132674957033397,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.424,0.21991979181868299,9.775952555223622,0.5791418990994447,-1.613380785223209,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.456,0.21911353162612407,9.75506841710627,0.5797237487663245,-1.613509782755392,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.488,0.21830319017202696,9.734139314656495,0.579907412231918,-1.6136429325802515,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.52,0.2174887931474105,9.713166365670375,0.5796988892970801,-1.6137692099343461,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.552,0.21667037540559278,9.69215081106565,0.5791356537342816,-1.61387933476202,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.584,0.2158479856860266,9.671094001255971,0.5782820564671611,-1.6139663135982598,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.616,0.21502168921232778,9.649997365300816,0.5772227666117812,-1.6140254124508935,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.648,0.21419156846479984,9.628862369420153,0.5760548637997154,-1.6140538019210287,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.68,0.2133577226696713,9.607690472684483,0.574879279508363,-1.6140501317546712,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.712,0.21252026656277068,9.58648308704209,0.5737923068833091,-1.6140142281434837,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
